Sample Size,evaluation,verification
30,19.49131464958191,16.458420276641846
30,19.722603797912598,16.615384817123413
30,19.850751161575317,16.59143090248108
30,19.554517030715942,16.58480405807495
30,19.75547742843628,16.941510438919067
30,20.02798318862915,16.90151596069336
30,19.611215353012085,16.664823293685913
30,19.9902606010437,16.581977367401123
30,19.574164628982544,16.69066095352173
30,19.634538650512695,16.653939485549927
40,24.84482216835022,20.65412712097168
40,25.456929206848145,20.98685932159424
40,24.246505737304688,21.752994298934937
40,24.73982262611389,21.375110864639282
40,25.4749813079834,21.11468482017517
40,24.77055048942566,20.848307371139526
40,24.672880172729492,20.926820993423462
40,24.21873950958252,20.687322854995728
40,25.45501708984375,20.658604860305786
40,24.647645235061646,20.77179980278015
50,33.26892876625061,27.664154291152954
50,33.32552480697632,28.243112802505493
50,32.974836587905884,27.427281856536865
50,32.205283641815186,28.582297801971436
50,33.44464564323425,27.985223531723022
50,32.21781611442566,28.626537084579468
50,34.109554052352905,28.624428272247314
50,33.32973051071167,28.160330295562744
50,32.38046860694885,27.7202250957489
50,33.13512063026428,28.406813383102417
60,38.739134788513184,32.452874183654785
60,38.43669319152832,31.62719750404358
60,38.508164405822754,32.44835019111633
60,38.50753998756409,32.30310773849487
60,38.69650983810425,32.38016986846924
60,38.31938314437866,31.818552255630493
60,38.93318510055542,32.51675629615784
60,38.98461294174194,32.45565938949585
60,39.30115556716919,32.5113570690155
60,37.79474902153015,32.77195143699646
70,43.896260499954224,36.991987228393555
70,44.578484296798706,36.71183776855469
70,44.51377534866333,37.40194344520569
70,44.04417085647583,38.08351969718933
70,44.493199586868286,36.78000593185425
70,43.90910530090332,37.42827129364014
70,44.058290004730225,36.71263670921326
70,43.01598620414734,36.49615001678467
70,43.40299344062805,36.460766553878784
70,42.95510983467102,36.76020860671997
80,49.06615853309631,40.259278535842896
80,48.44383883476257,40.679285287857056
80,48.28882694244385,40.62307000160217
80,48.608821392059326,40.448819637298584
80,48.071757316589355,40.34687352180481
80,48.68801927566528,40.09391808509827
80,48.6720290184021,40.60898041725159
80,48.665114879608154,40.435298919677734
80,48.34429478645325,40.514939308166504
80,48.00185489654541,39.68640160560608
90,56.71841621398926,47.237828731536865
90,56.70282244682312,47.699971437454224
90,57.298513650894165,46.613698959350586
90,56.7431755065918,47.9038360118866
90,56.96815896034241,48.15973663330078
90,56.84388470649719,48.27101230621338
90,57.443156480789185,47.86557865142822
90,57.015970945358276,47.04937672615051
90,56.633402824401855,46.41020441055298
90,57.33538842201233,47.16656994819641
100,61.66463875770569,52.519033432006836
100,62.11523962020874,51.58855962753296
100,62.314103841781616,51.85885310173035
100,60.91969919204712,51.510356426239014
100,61.371691942214966,51.648210525512695
100,62.52298927307129,51.46868276596069
100,62.1111843585968,51.415921211242676
100,61.52657985687256,51.655113697052
100,61.936097860336304,51.41129755973816
100,61.711012840270996,51.360947132110596
